i,x,y
299,0.46875,0.46875
300,0.470313,0.470313
301,0.471875,0.471875
302,0.473438,0.473438
303,0.475,0.475
304,0.476562,0.476563
305,0.478125,0.478125
306,0.479688,0.479688
307,0.48125,0.48125
308,0.482813,0.482813
309,0.484375,0.484375
310,0.485938,0.485938
311,0.4875,0.4875
312,0.489063,0.489063
313,0.490625,0.490625
314,0.492188,0.492188
315,0.49375,0.49375
316,0.495313,0.495313
317,0.496875,0.496875
318,0.498438,0.498438
319,0.5,0.5
320,0.501563,0.501563
321,0.503125,0.503125
322,0.504688,0.504688
323,0.50625,0.50625
324,0.507812,0.507813
325,0.509375,0.509375
326,0.510938,0.510938
327,0.5125,0.5125
328,0.514062,0.514063
329,0.515625,0.515625
330,0.517188,0.517188
331,0.51875,0.51875
332,0.520313,0.520313
333,0.521875,0.521875
334,0.523438,0.523438
335,0.525,0.525
336,0.526563,0.526563
337,0.528125,0.528125
338,0.529687,0.529688
339,0.53125,0.53125
340,0.532813,0.532813
341,0.534375,0.534375
342,0.535938,0.535938
343,0.5375,0.5375
344,0.539062,0.539063
345,0.540625,0.540625
346,0.542188,0.542188
347,0.54375,0.54375
348,0.545312,0.545313
349,0.546875,0.546875
350,0.548438,0.548438
351,0.55,0.55
352,0.551563,0.551563
353,0.553125,0.553125
354,0.554688,0.554688
355,0.55625,0.55625
356,0.557813,0.557813
357,0.559375,0.559375
358,0.560937,0.560938
359,0.5625,0.5625
360,0.564063,0.564063
361,0.565625,0.565625
362,0.567188,0.567188
363,0.56875,0.56875
364,0.570312,0.570313
365,0.571875,0.571875
366,0.573438,0.573438
367,0.575,0.575
368,0.576562,0.576563
369,0.578125,0.578125
370,0.579688,0.579688
371,0.58125,0.58125
372,0.582813,0.582813
373,0.584375,0.584375
374,0.585938,0.585938
375,0.5875,0.5875
376,0.589063,0.589063
377,0.590625,0.590625
378,0.592187,0.592188
379,0.59375,0.59375
380,0.595313,0.595313
381,0.596875,0.596875
382,0.598438,0.598438
383,0.6,0.6
384,0.601562,0.601563
385,0.603125,0.603125
386,0.604688,0.604688
387,0.60625,0.60625
388,0.607813,0.607813
389,0.609375,0.609375
390,0.610938,0.610938
391,0.6125,0.6125
392,0.614063,0.614063
393,0.615625,0.615625
394,0.617188,0.617188
395,0.61875,0.61875
396,0.620313,0.620313
397,0.621875,0.621875
398,0.623438,0.623438
399,0.625,0.625
400,0.626563,0.626563
401,0.628125,0.628125
402,0.629688,0.629688
403,0.63125,0.63125
404,0.632812,0.632813
405,0.634375,0.634375
406,0.635938,0.635938
407,0.6375,0.6375
408,0.639063,0.639063
409,0.640625,0.640625
410,0.642188,0.642188
411,0.64375,0.64375
412,0.645313,0.645313
413,0.646875,0.646875
414,0.648438,0.648438
415,0.65,0.65
416,0.651563,0.651563
417,0.653125,0.653125
418,0.654688,0.654688
