i,x,y
493,0.771875,0.0945591
494,0.773438,0.0941524
495,0.775,0.0937427
496,0.776563,0.0933298
497,0.778125,0.0929139
498,0.779688,0.0924949
499,0.78125,0.0920727
500,0.782813,0.0916475
501,0.784375,0.0912192
502,0.785938,0.0907877
503,0.7875,0.0903531
504,0.789062,0.0899154
505,0.790625,0.0894746
506,0.792188,0.0890307
507,0.79375,0.0885836
508,0.795313,0.0881333
509,0.796875,0.08768
510,0.798438,0.0872234
511,0.8,0.0867637
512,0.801563,0.0863009
513,0.803125,0.0858349
514,0.804688,0.0853657
515,0.80625,0.0848933
516,0.807813,0.0844178
517,0.809375,0.083939
518,0.810938,0.0834571
519,0.8125,0.082972
520,0.814063,0.0824836
521,0.815625,0.0819921
522,0.817188,0.0814974
523,0.81875,0.0809994
524,0.820312,0.0804982
525,0.821875,0.0799938
526,0.823438,0.0794862
527,0.825,0.0789753
528,0.826563,0.0784611
529,0.828125,0.0779438
530,0.829688,0.0774232
531,0.83125,0.0768993
532,0.832813,0.0763721
533,0.834375,0.0758417
534,0.835938,0.075308
535,0.8375,0.0747711
536,0.839063,0.0742308
537,0.840625,0.0736873
538,0.842188,0.0731405
539,0.84375,0.0725903
540,0.845313,0.0720369
541,0.846875,0.0714802
542,0.848438,0.0709201
543,0.85,0.0703568
544,0.851562,0.0697901
545,0.853125,0.06922
546,0.854688,0.0686467
547,0.85625,0.06807
548,0.857813,0.0674899
549,0.859375,0.0669065
550,0.860938,0.0663198
551,0.8625,0.0657297
552,0.864063,0.0651362
553,0.865625,0.0645394
554,0.867188,0.0639391
555,0.86875,0.0633355
556,0.870313,0.0627285
557,0.871875,0.0621181
558,0.873438,0.0615044
559,0.875,0.0608872
560,0.876563,0.0602666
561,0.878125,0.0596426
562,0.879688,0.0590151
563,0.88125,0.0583843
564,0.882812,0.05775
565,0.884375,0.0571123
566,0.885938,0.0564711
567,0.8875,0.0558265
568,0.889063,0.0551785
569,0.890625,0.054527
570,0.892188,0.053872
571,0.89375,0.0532135
572,0.895313,0.0525516
573,0.896875,0.0518862
574,0.898438,0.0512174
575,0.9,0.050545
576,0.901563,0.0498691
577,0.903125,0.0491898
578,0.904688,0.0485069
579,0.90625,0.0478205
580,0.907813,0.0471306
581,0.909375,0.0464372
582,0.910938,0.0457403
583,0.9125,0.0450398
584,0.914062,0.0443358
585,0.915625,0.0436282
586,0.917188,0.0429171
587,0.91875,0.0422025
588,0.920313,0.0414842
589,0.921875,0.0407624
590,0.923438,0.0400371
591,0.925,0.0393081
592,0.926563,0.0385756
593,0.928125,0.0378395
594,0.929688,0.0370998
595,0.93125,0.0363565
596,0.932813,0.0356096
597,0.934375,0.034859
598,0.935938,0.0341049
599,0.9375,0.0333471
600,0.939063,0.0325857
601,0.940625,0.0318207
602,0.942188,0.031052
603,0.94375,0.0302797
604,0.945312,0.0295038
605,0.946875,0.0287242
606,0.948438,0.0279409
607,0.95,0.0271539
608,0.951563,0.0263633
609,0.953125,0.025569
610,0.954688,0.024771
611,0.95625,0.0239693
612,0.957813,0.0231639
